ID;ФИО;Дата рождения;Семейное положение;Дети;Отдел;Должность;Рабочий стаж (лет);Наличие правонарушений/ судимостей;Наличие выговоров по трудовой дисциплине;Трудовые заслуги;Образование;Дополнительная квалификация;Исполнительность/ дисциплинированность;Коммуникабельность;Стрессоустойчивость;Лидерство;Порядочность/ честность;Энергичность;Кандидат на увольнение
20;Молчанов Людвиг Валерьевич;21.06.1995;разведен;;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Электромонтер по эксплуатации распределительных сетей;1;Нет;Нет;Нет;среднее профессиональное образование;Нет;9;10;6;1;9;8;0
21;Лыткин Родион Богданович;13.11.1959;холост;есть дети;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Диспетчер оперативно-технологической группы;4;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;0;3;3;4;2;9;0
22;Семёнов Гордий Натанович;04.12.1969;женат;есть дети;Западный участок;Инженер охраны труда;8;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;5;3;7;5;3;4;0
23;Михайлов Тимофей Феликсович;10.04.1973;разведен;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер по эксплуатации электросчетчиков;19;Нет;Нет;Нет;среднее профессиональное образование;Нет;3;1;2;1;9;5;0
24;Рогов Гаянэ Юрьевич;08.06.1982;женат;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер по эксплуатации электросчетчиков;24;Нет;Нет;Нет;среднее профессиональное образование;Нет;0;1;4;4;8;6;0
25;Никитин Витольд Викторович;01.03.1975;женат;есть дети;Центральный участок;Специалист Центра обслуживания потребителей;3;Нет;Нет;Нет;среднее профессиональное образование;Нет;8;2;4;5;1;5;0
26;Ильин Юлий Иринеевич;14.12.1979;холост;есть дети;Центральный участок;Начальник участка отдела метрологии и качества электроэнергии;8;Нет;Нет;Нет;высшее образование - специалитет магистратура;Да;2;3;6;1;0;5;0
27;Рожков Георгий Львович;21.08.1969;холост;есть дети;Отдел безопасности;Инженер управления производственной безопасности и производственного контроля;14;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;10;2;2;0;1;1;0
28;Котов Нинель Робертович;27.08.1985;холост;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Диспетчер оперативно-технологической группы;21;Нет;Нет;Нет;высшее образование - бакалавриат;Да;5;4;3;9;3;10;0
29;Гаврилов Денис Мартынович;08.08.1995;разведен;есть дети;Отдел безопасности;Специалист по ИБ;3;Да;Да;Нет;высшее образование - бакалавриат;Нет;6;10;2;2;1;10;1
30;Иванов Тарас Юлианович;30.09.1964;женат;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;22;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;4;3;1;5;4;8;0
31;Савельев Ким Тимофеевич;24.10.1988;женат;есть дети;Отдел эксплуатации ИТ (ОЭ ИТ);ИТ-специалист;2;Нет;Да;Нет;высшее образование - бакалавриат;Нет;1;0;6;7;8;8;1
32;Никонов Витольд Дмитрьевич;03.09.1962;женат;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Инженер 1 категории управления технологического развития и цифровизации;15;Нет;Нет;Да;высшее образование - бакалавриат;Да;6;5;9;4;2;5;0
33;Гурьев Илья Иванович;12.02.1977;женат;есть дети;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Электромонтер оперативно-выездной бригады ;15;Нет;Нет;Нет;среднее профессиональное образование;Нет;8;0;6;8;10;8;0
34;Зыков Виктор Петрович;30.12.1973;разведен;есть дети;Западный участок;Техник отдела маркетинга и взаимодействия с клиентами;18;Нет;Нет;Нет;среднее профессиональное образование;Нет;7;8;6;9;6;5;0
35;Виноградов Юстин Лукьевич;29.09.1957;разведен;есть дети;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер по эксплуатации РС;6;Нет;Нет;Нет;среднее профессиональное образование;Нет;4;5;3;7;8;10;0
36;Иванов Роберт Натанович;15.04.1994;разведен;;Отдел эксплуатации ИТ (ОЭ ИТ);ИТ-специалист;23;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;10;1;6;10;6;0;0
37;Рожков Гавриил Рубенович;15.01.1996;разведен;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер по испытаниям и измерениям;10;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;7;1;7;4;10;0;0
38;Авдеев Абрам Эдуардович;16.06.1977;холост;;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Электромонтер по ремонту воздушных линий электропередачи;17;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;8;9;2;2;5;10;0
39;Емельянов Венедикт Евгеньевич;03.01.1961;разведен;есть дети;Смоленский городской участок (СГУ);Инженер охраны труда;14;Да;Нет;Нет;высшее образование - бакалавриат;Нет;1;0;6;0;9;3;1
40;Калашников Абрам Якунович;28.08.1981;женат;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер оперативно-выездной бригады ;25;Да;Да;Нет;среднее профессиональное образование;Нет;9;8;7;4;0;10;0
41;Гусев Глеб Олегович;07.10.1957;женат;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер по релейной защите и автоматике (РЗА);18;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;6;2;5;10;1;3;0
42;Корнилов Петр Аркадьевич;24.02.1966;женат;есть дети;Отдел эксплуатации ИТ (ОЭ ИТ);Ведущий IT специалист;12;Нет;Нет;Да;высшее образование - специалитет магистратура;Нет;4;4;7;10;10;10;0
43;Гордеев Леонид Артемович;22.02.1958;холост;;Смоленский городской участок (СГУ);Начальник участка отдела метрологии и качества электроэнергии;14;Нет;Нет;Нет;высшее образование - специалитет магистратура;Да;10;9;5;10;8;3;0
44;Михеев Леонтий Филиппович;11.10.1995;холост;есть дети;Смоленский городской участок (СГУ);Главный инженер района электрических сетей;12;Нет;Нет;Нет;высшее образование - специалитет магистратура;Нет;3;9;4;9;4;6;1
45;Голубев Игнатий Федосеевич;07.09.1960;разведен;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер по обслуживанию подстанции;20;Нет;Нет;Нет;среднее профессиональное образование;Да;7;10;8;1;5;5;0
46;Карпов Ефрем Глебович;31.12.1990;холост;;Западный участок;Техник отдела маркетинга и взаимодействия с клиентами;24;Нет;Нет;Нет;среднее профессиональное образование;Нет;3;10;4;1;2;6;0
47;Гусев Пантелей Лукьянович;15.06.1962;холост;;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер по обслуживанию подстанции;13;Нет;Нет;Нет;среднее профессиональное образование;Нет;2;2;2;6;4;4;1
48;Колесников Власий Робертович;27.05.1984;женат;есть дети;Восточный участок;Специалист Центра обслуживания потребителей;11;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;4;7;10;3;7;0;0
49;Шашков Любомир Романович;16.09.1962;холост;;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Электромонтер по эксплуатации распределительных сетей;9;Нет;Нет;Нет;среднее профессиональное образование;Нет;5;1;6;8;2;4;0
50;Ситников Степан Артёмович;02.06.1957;женат;есть дети;Отдел эксплуатации ИТ (ОЭ ИТ);Ведущий IT специалист;10;Нет;Нет;Нет;высшее образование - специалитет магистратура;Нет;7;1;9;3;0;1;1
51;Рожков Геннадий Протасьевич;16.12.1957;холост;;Отдел эксплуатации ИТ (ОЭ ИТ);Технический IT-специалист;18;Нет;Нет;Нет;высшее образование - специалитет магистратура;Нет;8;1;4;9;8;2;1
52;Исаев Людвиг Созонович;06.04.1973;холост;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер по релейной защите и автоматике (РЗА);5;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;8;9;6;4;2;5;0
53;Матвеев Роман Геннадьевич;14.08.1979;холост;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Инженер 1 категории управления технологического развития и цифровизации;10;Нет;Нет;Нет;высшее образование - специалитет магистратура;Да;1;1;9;10;8;2;0
54;Шубин Гурий Геласьевич;10.07.1979;холост;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер по эксплуатации электросчетчиков;13;Нет;Нет;Нет;среднее профессиональное образование;Нет;6;5;6;9;9;8;0
55;Лобанов Эдуард Тарасович;06.02.1988;разведен;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;7;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;5;9;2;0;8;6;0
56;Дьячков Вадим Юрьевич;12.03.1996;холост;есть дети;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Диспетчер оперативно-технологической группы;3;Нет;Да;Нет;высшее образование - бакалавриат;Нет;2;9;7;1;5;0;1
57;Жуков Устин Аркадьевич;25.04.1989;женат;;Центральный участок;Начальник участка отдела метрологии и качества электроэнергии;18;Нет;Нет;Да;высшее образование - специалитет магистратура;Нет;7;2;6;6;10;8;0
58;Поляков Устин Витальевич;26.05.1974;женат;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер по релейной защите и автоматике (РЗА);5;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;8;1;10;0;0;4;0
59;Михеев Даниил Тарасович;01.05.1995;женат;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер по релейной защите и автоматике (РЗА);6;Нет;Нет;Нет;высшее образование - бакалавриат;Да;6;0;4;2;0;7;0
60;Рожков Егор Тарасович;24.06.1958;женат;;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер по испытаниям и измерениям;3;Нет;Нет;Нет;среднее профессиональное образование;Нет;8;7;3;2;7;8;0
61;Зайцев Дмитрий Глебович;22.08.1990;холост;;Западный участок;Инженер охраны труда;12;Нет;Нет;Нет;среднее профессиональное образование;Нет;10;2;1;9;9;9;0
62;Носков Авраам Рубенович;14.10.1976;холост;;Центральный участок;Техник отдела маркетинга и взаимодействия с клиентами;7;Нет;Нет;Нет;среднее профессиональное образование;Нет;1;4;5;5;1;5;0
63;Власов Августин Геласьевич;12.01.1994;холост;есть дети;Центральный участок;Техник отдела маркетинга и взаимодействия с клиентами;21;Нет;Нет;Нет;среднее профессиональное образование;Нет;8;10;1;3;1;8;0
64;Наумов Азарий Донатович;15.11.1983;холост;;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер по эксплуатации РС;1;Нет;Нет;Нет;среднее профессиональное образование;Нет;9;4;9;5;8;6;1
65;Журавлёв Лазарь Данилович;12.06.1973;холост;есть дети;Восточный участок;Инженер охраны труда;16;Нет;Да;Нет;высшее образование - бакалавриат;Нет;6;10;4;3;8;10;1
66;Харитонов Иван Егорович;07.04.1976;холост;есть дети;Западный участок;Главный инженер района электрических сетей;6;Да;Нет;Нет;высшее образование - специалитет магистратура;Нет;1;10;7;0;4;5;1
67;Куликов Иннокентий Русланович;30.01.1996;холост;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Диспетчер оперативно-технологической группы;7;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;10;3;1;10;7;0;0
68;Большаков Артур Тарасович;26.08.1970;разведен;есть дети;Отдел безопасности;Инженер по релейной защите и автоматике (РЗА);8;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;4;4;9;10;0;8;0
69;Константинов Семен Протасьевич;28.01.1985;холост;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;2;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;6;2;6;6;3;2;0
70;Филиппов Артур Аристархович;19.07.1959;разведен;есть дети;Отдел эксплуатации ИТ (ОЭ ИТ);ИТ-специалист;10;Нет;Нет;Да;высшее образование - специалитет магистратура;Да;6;7;8;8;2;5;0
71;Суханов Никифор Ярославович;26.05.1989;женат;есть дети;Западный участок;Специалист по охране труда;14;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;1;2;1;2;2;5;1
72;Зуев Лавр Созонович;29.10.1992;холост;;Смоленский городской участок (СГУ);Техник отдела маркетинга и взаимодействия с клиентами;3;Нет;Нет;Нет;среднее профессиональное образование;Нет;9;9;4;3;10;10;0
73;Королёв Аверкий Юрьевич;23.02.1983;холост;есть дети;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер по эксплуатации электросчетчиков;5;Да;Нет;Нет;среднее профессиональное образование;Нет;8;0;10;4;8;3;0
74;Вишняков Павел Наумович;03.07.1995;холост;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Электромонтер оперативно-выездной бригады ;3;Нет;Нет;Да;среднее профессиональное образование;Нет;6;2;3;4;2;9;0
75;Михеев Всеволод Федотович;28.05.1960;холост;;Отдел эксплуатации ИТ (ОЭ ИТ);Технический IT-специалист;11;Нет;Нет;Нет;среднее профессиональное образование;Нет;8;9;9;8;9;1;1
76;Карпов Архип Мартынович;22.01.1967;женат;;Смоленский городской участок (СГУ);Начальник участка отдела метрологии и качества электроэнергии;12;Нет;Нет;Нет;высшее образование - специалитет магистратура;Нет;1;7;7;10;10;3;0
77;Зыков Тарас Федотович;04.03.1977;разведен;есть дети;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Электромонтер по ремонту воздушных линий электропередачи;11;Нет;Да;Да;среднее профессиональное образование;Нет;0;0;5;6;4;6;1
78;Голубев Казимир Всеволодович;24.09.1983;холост;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;5;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;4;8;5;5;5;6;0
79;Борисов Тарас Ефимович;22.07.1978;женат;есть дети;Западный участок;Инженер ПТО;13;Нет;Да;Нет;высшее образование - бакалавриат;Нет;6;7;6;7;8;3;0
80;Зайцев Анатолий Денисович;04.01.1976;холост;;Центральный участок;Начальник участка отдела метрологии и качества электроэнергии;21;Нет;Нет;Да;высшее образование - специалитет магистратура;Нет;3;5;5;4;2;4;1
81;Русаков Клим Германович;09.11.1982;разведен;;Южный участок;Инженер ПТО;21;Нет;Нет;Нет;высшее образование - бакалавриат;Да;10;8;6;10;1;10;0
82;Цветков Валентин Гордеевич;22.07.1995;холост;;Восточный участок;Главный инженер района электрических сетей;14;Нет;Нет;Да;высшее образование - специалитет магистратура;Нет;4;1;5;7;4;4;0
83;Сидоров Ираклий Владиславович;08.06.1989;женат;есть дети;Отдел безопасности;Инженер управления производственной безопасности и производственного контроля;20;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;1;2;0;3;5;2;1
84;Соколов Самуил Геннадиевич;17.04.1989;разведен;есть дети;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Электромонтер по эксплуатации распределительных сетей;17;Да;Нет;Нет;среднее профессиональное образование;Нет;2;4;4;1;7;9;1
85;Дементьев Николай Юлианович;16.07.1982;женат;;Восточный участок;Инженер ПТО;2;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;0;0;7;9;5;9;0
86;Брагин Витольд Авксентьевич;15.06.1987;женат;есть дети;Восточный участок;Инженер охраны труда;3;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;2;8;10;10;7;2;0
87;Смирнов Любовь Эльдарович;16.04.1983;женат;;Отдел эксплуатации ИТ (ОЭ ИТ);Технический IT-специалист;10;Нет;Да;Нет;высшее образование - бакалавриат;Нет;9;4;5;5;4;6;1
88;Аксёнов Юрий Львович;25.09.1962;женат;;Отдел эксплуатации ИТ (ОЭ ИТ);Ведущий IT специалист;5;Нет;Нет;Нет;высшее образование - специалитет магистратура;Нет;5;3;7;4;10;8;0
89;Ильин Севастьян Всеволодович;20.01.1995;разведен;есть дети;Центральный участок;Главный инженер района электрических сетей;2;Нет;Нет;Нет;высшее образование - специалитет магистратура;Да;5;1;5;10;9;4;0
90;Степанов Любовь Натанович;18.08.1990;женат;;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Мастер бригады по эксплуатации распределительных сетей;16;Нет;Нет;Да;среднее профессиональное образование;Нет;2;10;8;6;5;6;0
91;Бирюков Людвиг Миронович;09.04.1979;холост;есть дети;Восточный участок;Специалист по охране труда;21;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;3;0;7;5;2;10;0
92;Игнатьев Илларион Давидович;02.10.1975;женат;есть дети;Смоленский городской участок (СГУ);Мастер бригады РЭС;5;Нет;Да;Нет;среднее профессиональное образование;Нет;3;8;10;1;9;0;1
93;Орлов Мстислав Игнатьевич;28.10.1985;холост;;Центральный участок;Инженер ПТО;20;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;2;3;10;4;3;1;0
94;Гурьев Вячеслав Львович;06.05.1967;женат;есть дети;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;13;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;4;2;2;7;1;3;1
95;Сазонов Назарий Аристархович;04.08.1962;разведен;;Отдел эксплуатации ИТ (ОЭ ИТ);ИТ-специалист;9;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;5;7;2;9;7;2;0
96;Горбачёв Игнатий Адольфович;11.04.1995;женат;есть дети;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Инженер отдела эксплуатации и развития систем учета;23;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;10;2;1;9;9;5;0
97;Орехов Арсен Святославович;03.11.1964;разведен;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Диспетчер оперативно-технологической группы;15;Нет;Нет;Нет;среднее профессиональное образование;Да;0;10;2;3;4;3;0
98;Ершов Мирослав Германнович;07.03.1997;женат;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер по релейной защите и автоматике (РЗА);19;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;9;2;2;10;7;1;0
99;Петухов Самуил Натанович;11.09.1994;разведен;есть дети;Западный участок;Инженер-электрик;1;Да;Нет;Нет;высшее образование - бакалавриат;Нет;4;9;1;0;10;0;1
100;Николаев Иосиф Пантелеймонович;12.03.1997;разведен;;Отдел эксплуатации ИТ (ОЭ ИТ);Технический IT-специалист;22;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;1;1;6;4;8;6;0
101;Одинцов Рудольф Демьянович;02.05.1977;разведен;;Центральный участок;Техник отдела маркетинга и взаимодействия с клиентами;16;Нет;Нет;Нет;среднее профессиональное образование;Нет;9;3;7;8;0;3;1
102;Сазонов Демьян Германнович;07.03.1965;разведен;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер по эксплуатации РС;21;Нет;Да;Нет;среднее профессиональное образование;Нет;1;9;1;7;1;5;0
103;Громов Ростислав Вадимович;21.02.1978;женат;есть дети;Восточный участок;Начальник участка отдела метрологии и качества электроэнергии;9;Нет;Нет;Нет;высшее образование - специалитет магистратура;Нет;0;0;0;10;4;0;0
104;Кондратьев Власий Серапионович;11.11.1983;женат;есть дети;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;21;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;1;4;10;7;8;0;0
105;Туров Яков Анатольевич;03.11.1979;холост;;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Электромонтер по ремонту воздушных линий электропередачи;23;Нет;Нет;Нет;среднее профессиональное образование;Нет;3;2;2;5;2;4;1
106;Горшков Осип Артемович;11.05.1982;женат;;Отдел эксплуатации ИТ (ОЭ ИТ);Технический IT-специалист;2;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;3;5;6;7;1;3;0
107;Яковлев Фрол Витальевич;17.04.1959;разведен;есть дети;Южный участок;Главный инженер района электрических сетей;15;Нет;Нет;Нет;высшее образование - специалитет магистратура;Нет;5;9;4;3;3;1;0
108;Дмитриев Любовь Ярославович;16.08.1962;холост;;Отдел эксплуатации ИТ (ОЭ ИТ);ИТ-специалист;23;Нет;Нет;Да;высшее образование - бакалавриат;Да;8;2;8;7;3;6;0
109;Логинов Герасим Никитевич;22.04.1982;женат;;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Электромонтер по эксплуатации распределительных сетей;2;Нет;Нет;Нет;среднее профессиональное образование;Нет;10;3;2;10;1;6;0
110;Гусев Игорь Еремеевич;08.11.1997;разведен;;Отдел безопасности;Специалист по ИБ;1;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;7;7;9;7;10;8;0
111;Комиссаров Платон Даниилович;08.06.1985;разведен;;Смоленский городской участок (СГУ);Специалист по охране труда;20;Нет;Нет;Нет;среднее профессиональное образование;Да;3;6;5;9;6;4;0
112;Буров Борис Арсеньевич;07.05.1979;холост;;Смоленский городской участок (СГУ);Инженер-электрик;14;Нет;Нет;Нет;высшее образование - бакалавриат;Да;2;2;2;3;3;8;1
113;Агафонов Афанасий Макарович;10.05.1971;холост;есть дети;Восточный участок;Инженер отдела эксплуатации и развития систем учета;16;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;0;0;2;5;10;5;0
114;Федотов Зиновий Максович;28.04.1998;холост;;Отдел безопасности;Специалист по ИБ;15;Нет;Нет;Нет;среднее профессиональное образование;Нет;5;5;4;0;6;10;1
115;Давыдов Велорий Артёмович;15.11.1985;разведен;;Восточный участок;Специалист Центра обслуживания потребителей;22;Нет;Нет;Нет;среднее профессиональное образование;Нет;9;3;5;4;0;9;0
116;Прохоров Иннокентий Онисимович;12.02.1980;холост;есть дети;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер оперативно-выездной бригады ;13;Да;Нет;Нет;среднее профессиональное образование;Нет;0;2;9;1;5;8;1
117;Зуев Корней Проклович;10.09.1982;женат;есть дети;Отдел безопасности;Инженер управления производственной безопасности и производственного контроля;2;Да;Нет;Нет;высшее образование - бакалавриат;Нет;6;3;7;7;2;7;1
118;Наумов Илларион Эдуардович;12.03.1964;холост;;Центральный участок;Инженер ПТО;1;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;8;2;3;5;8;6;0
119;Носков Мирослав Игоревич;17.06.1996;женат;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Мастер участка службы подстанций;9;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;0;4;1;2;0;2;0
120;Ефремов Гавриил Денисович;30.05.1994;разведен;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Инженер 1 категории управления технологического развития и цифровизации;15;Нет;Нет;Нет;высшее образование - специалитет магистратура;Да;6;3;8;4;6;3;0
